ID,salary_min,salary_max,letter
94005,,,D
8302,3135,5341,D
8303,3135,5341,D
15365,,,D
9078,2825,3128,D
9178,,,D
9449,,,D
9284,,,D
30226,2000,,D
8282,2000,,D
93809,,,D
94162,,,D
1529,3523,4146,D
1528,,,D
1539,,,D
59034,,,D
4795,,,D
6712,2385,2789,D
93982,,,D
94023,,,D
1424,3420,3839,D
15419,,,D
15355,,,D
134892,,,E
8279,4664,,E
14994,2509,2649,E
134756,2950,3526,E
133292,,,E
6418,3060,3362,E
2610,3241,,E
897,5072,,E
131163,3241,,E
131165,3241,,E
131166,3241,,E
131167,3241,,E
94241,,,E
100519,,,E
15057,3504,3960,E
7729,3504,3960,E
15060,3504,3800,E
8963,2944,3256,E
6600,3485,4272,E
59145,2515,3020,E
8170,,,E
7139,2859,4476,E
8095,3099,3713,E
3983,,,E
7119,2656,,E
7111,3027,3207,E
3911,,,E
9549,,,E
2774,3135,3646,E
15481,,,E
2842,4334,4831,E
120089,,,E
120090,,,E
134713,3135,3646,E
15630,3135,3646,E
15623,3135,3646,E
2793,3135,3646,E
15636,3071,3665,E
15621,3140,,E
134715,3140,,E
15632,3135,3646,E
59048,3135,3646,E
59049,3135,3646,E
59047,3135,3646,E
122382,3135,3646,E
134719,3135,3646,E
134718,3071,3665,E
58995,3135,3646,E
2072,3060,3362,E
94126,,,E
94219,,,E
2738,4334,4831,E
5502,3135,3646,E
10019,3130,3432,E
14469,2477,,E
10018,2477,,E
133332,2950,3526,E
94198,,,E
93845,,,E
93410,4604,5819,E
93636,,,E
93778,,,E
8369,,,E
15927,,,E
74028,2254,2477,E
4598,2729,3032,E
89995,3504,3960,E
93976,,,E
13985,,,E
59014,3800,4163,E
100541,4560,6179,E
94115,,,E
15255,3928,5013,E
4807,,,E
8779,2944,3256,E
8774,2944,3256,E
93745,,,E
15669,2531,5871,E
13890,3928,6444,E
93917,,,E
93609,,,E
93657,,,E
94211,,,E
1931,3060,3362,E
27544,3800,4367,E
27543,3800,4367,E
27545,3800,4367,E
27546,3800,4367,E
29421,5379,5825,E
9097,3812,5416,E
9162,2880,3909,E
9106,2943,4368,E
9103,2943,4368,E
93741,,,E
93663,,,E
9045,3928,6444,E
4390,,,E
4391,4602,5054,E
10050,2254,2477,E
133432,4509,5073,E
58698,,,E
93990,,,E
93839,,,E
13622,2962,3674,E
93612,,,E
93642,,,E
9598,,,E
100511,,,E
8783,,,E
14079,,,E
93827,,,E
35201,,,E
35200,,,E
6546,2654,3050,E
1232,2889,2921,E
593,,,F
6338,2699,,F
34990,2699,,F
15569,3080,,F
34992,,,F
7706,3125,4476,F
8141,3080,,F
14834,3483,3812,F
35011,3483,3812,F
69709,3483,3812,F
14837,3483,3812,F
100809,2899,,F
9496,2825,3128,F
35268,2944,3256,F
8348,2825,3128,F
8329,2825,3128,F
8349,2825,3128,F
8347,2825,3128,F
14388,2825,3128,F
59087,,,F
58985,3696,4343,F
27365,6196,7958,F
27359,,,F
27361,6196,7958,F
27360,6196,7958,F
27362,4928,7018,F
27363,6196,7958,F
27364,6196,7958,F
27367,6196,7958,F
27497,6196,7958,F
27368,6196,7958,F
27369,6196,7958,F
27498,6196,7958,F
27370,6196,7958,F
27371,6196,7958,F
27372,6196,7958,F
27373,6196,7958,F
27380,6196,7958,F
8649,6196,7958,F
27381,6196,7958,F
27382,6196,7958,F
27383,6196,7958,F
27499,6196,7958,F
27500,6196,7958,F
27509,6196,7958,F
27512,6196,7958,F
27506,6196,7958,F
27520,4928,7018,F
27501,6196,7958,F
27513,6196,7958,F
27514,6196,7958,F
27505,6196,7958,F
27515,6196,7958,F
27516,6196,7958,F
27502,6196,7958,F
27510,6196,7958,F
27511,6196,7958,F
27366,6196,7958,F
27517,6052,6763,F
27507,6196,7958,F
27503,6196,7958,F
27518,6196,7958,F
27519,6196,7958,F
27504,6196,7958,F
15120,2944,3256,F
134653,2699,,F
131094,,,F
132515,,,F
35217,3112,3675,F
9059,2859,4476,F
4600,2385,2789,F
15063,3258,,F
7855,3135,3646,F
35019,3135,3646,F
14045,3504,3800,F
13984,2940,,F
33356,6052,6763,F
7856,3135,3646,F
133556,3135,3646,F
133560,3135,3646,F
7847,3135,3646,F
7972,3504,3800,F
14106,2604,3258,F
6543,3544,4254,F
58794,3483,3812,F
14681,3483,3812,F
134762,3483,3812,F
14683,3483,3812,F
130071,3483,3812,F
14578,3483,3812,F
58798,3483,3812,F
69689,3483,3812,F
14830,3483,3812,F
58796,3483,3812,F
14755,2825,3128,F
35009,2347,2464,F
14792,2943,4368,F
14026,3960,5341,F
50978,,,F
9602,2943,4368,F
51031,2347,2464,F
134933,,,F
7474,2699,,F
15085,2825,3128,F
3820,2845,2995,F
132573,,,F
10087,2254,2477,F
5608,4334,4831,F
34996,2654,3050,F
57895,,,F
35021,2827,3332,F
134853,3362,3960,F
126669,3294,3445,F
14757,2417,,F
33362,2353,3030,F
27448,2654,3050,F
51039,2699,,F
3898,2832,3228,F
126792,,,F
90009,2038,,F
14014,3032,3490,F
15081,3504,3800,F
58552,3362,3960,F
129419,,,F
14003,3362,3960,F
34980,2992,,F
34993,,,F
10128,2588,3173,F
14029,3362,3960,F
14759,2417,,F
29406,3890,4586,F
14463,,,F
14374,3182,3524,F
9666,,,F
129457,2395,2849,F
14754,2825,3128,F
14376,3182,3524,F
126756,,,F
122290,2985,3135,F
122292,2985,3135,F
122286,2985,3135,F
122288,2985,3135,F
14462,3483,3812,F
14452,3483,3812,F
134760,3483,3812,F
14461,3483,3812,F
14453,3483,3812,F
130069,3483,3812,F
14458,3483,3812,F
58792,3483,3812,F
69688,3483,3812,F
14456,3483,3812,F
14460,3483,3812,F
27539,2339,2392,F
9392,,,F
9384,,,F
9387,,,F
9338,,,F
9358,,,F
9312,,,F
59057,4822,4980,F
14088,3504,3800,F
14216,3350,3780,F
28816,2515,3020,F
9997,2477,,F
58512,3325,3821,F
125587,3342,,F
90101,5334,,F
3258,,,F
2858,,,F
130180,,,F
1495,,,F
119768,,,F
29092,,,F
3627,,,F
2857,,,F
1302,,,F
7883,,,F
132092,,,F
124466,,,F
2739,,,F
14969,,,F
3673,,,F
134513,,,F
14867,,,F
3946,,,F
4463,,,F
129285,,,F
34976,,,F
2376,,,F
119628,,,F
10254,,,F
94629,,,F
487,,,F
4585,,,F
2261,,,F
134912,,,F
58342,,,F
58313,,,F
6496,,,F
10212,,,F
4110,,,F
125540,,,F
1802,,,F
10187,,,F
4012,,,F
579,,,F
10088,,,F
50987,,,F
4708,,,F
14818,,,F
6649,,,F
93274,,,F
3747,,,F
129985,,,F
77408,,,F
132076,2859,4476,F
132075,2859,4476,F
77628,5637,7018,F
15326,2447,,F
15336,2447,,F
15332,2447,,F
15064,2515,3020,F
14766,2389,2708,F
6709,2389,2708,F
6664,2389,2708,F
14614,2389,2708,F
14866,2389,2708,F
6663,2389,2708,F
14767,2389,2708,F
14764,2389,2708,F
6659,2389,2708,F
6655,2389,2708,F
15168,2385,2789,F
29385,2385,2789,F
50920,2389,2708,F
50924,2389,2708,F
50922,2211,2325,F
14865,2389,2708,F
6661,2385,2789,F
14468,2389,2708,F
6662,2389,2708,F
6658,2389,2708,F
6660,2385,2789,F
6654,2389,2708,F
14864,2389,2708,F
14765,2389,2708,F
14325,2389,2708,F
6635,2389,2708,F
6665,2389,2708,F
29386,2389,2708,F
3009,,,F
77549,3125,4476,F
130353,2962,3674,F
13602,2934,,F
6754,3258,,F
7967,3746,4164,F
58790,2950,3526,F
15029,2859,4476,F
6696,2509,2957,F
119345,3504,3800,F
7688,3504,3800,F
133373,2962,3674,F
126566,3504,3800,F
35299,3678,4375,F
14804,3414,4322,F
15700,3350,3780,F
6781,3258,,F
7063,3258,,F
7473,3125,4476,F
15581,3130,3432,F
122248,3125,4476,F
34986,3125,4476,F
122246,3032,3490,F
6535,2962,3674,F
14749,3342,3745,F
8016,3523,3848,F
7056,3350,3780,F
7966,3504,3800,F
58334,3125,4476,F
58570,3258,,F
122250,3130,3432,F
74108,3125,4476,F
122245,3032,3490,F
126568,3504,3800,F
133354,3499,,F
122252,3125,4476,F
7960,,,F
9134,3355,4182,F
89951,3504,3800,F
122242,3125,4476,F
14734,,,F
122262,4334,4831,F
6623,2950,3526,F
7574,,,F
6944,2703,3439,F
6059,3831,,F
15066,3125,4476,F
74100,3325,3821,F
124532,2950,3526,F
125588,2950,3526,F
7649,3125,4476,F
7529,3504,3800,F
29388,3504,3800,F
27521,6196,7958,F
94274,,,F
93991,,,F
15628,4380,5280,F
7308,2122,2558,F
4121,2827,3092,F
7140,2654,3050,F
9569,,,F
107431,,,F
27394,2985,3135,F
4372,,,F
93708,,,F
94048,,,F
134333,3695,4042,F
15540,2991,3184,F
10275,,,F
94426,,,F
94254,,,F
15198,,,F
59177,3408,,F
14880,3928,6444,F
13992,2248,,F
4056,,,F
3951,,,F
10239,,,F
15657,,,F
133561,,,F
1123,,,F
1124,3646,3960,F
1946,3241,,F
15145,,,F
2418,3342,3745,F
15330,2569,,F
15444,2569,,F
15442,2569,,F
15440,2569,,F
15328,2569,,F
4024,,,F
2488,3060,3362,F
35221,3112,3675,F
3961,,,F
7416,,,F
995,2376,2510,F
94343,,,F
6612,2950,3526,F
14197,2820,3159,F
94107,,,F
93808,,,F
125531,,,F
59043,,,F
77568,1611,,F
14195,,,F
6454,3782,5798,F
59279,3782,5798,F
93712,,,F
94003,,,F
94061,,,F
93616,,,F
76910,2604,3258,F
33200,3504,3800,F
7036,3325,3821,F
59281,,,F
59283,,,F
93580,,,F
94407,,,F
131694,,,F
94425,,,F
3709,2484,2682,F
129348,2347,2464,F
129350,3500,,F
354,2699,,F
390,4850,5700,F
385,2699,,F
15658,,,F
4044,,,F
131053,2106,2485,F
1908,3060,3362,F
50909,,,F
3692,2453,,F
13804,2453,,F
3677,3297,,F
3694,2453,,F
1429,,,F
1406,3420,3839,F
4325,,,F
4326,4602,5054,F
680,1714,1904,F
681,2380,2532,F
10058,,,F
7352,,,F
100790,,,F
14030,4466,,F
123282,3135,3646,F
2187,3060,3362,F
2398,3060,3362,F
2403,3060,3362,F
7358,3397,4286,F
9572,,,F
7355,8456,10152,F
7354,2859,4476,F
10283,,,F
7311,,,F
9405,3066,,F
1452,,,F
6771,4509,5073,F
9986,2477,,F
9962,3130,3432,F
27314,5665,,F
134893,,,F
9766,4560,6179,F
15890,4604,5819,F
29201,4560,6179,F
50902,2699,,F
709,4108,4695,F
727,2347,2464,F
58700,3928,6444,F
728,2699,,F
94279,,,F
93807,,,F
6461,2525,,F
59257,4664,,F
76789,,,F
8578,,,F
93945,,,F
93668,,,F
58383,2385,2789,F
8632,,,F
15000,4407,5314,F
7362,,,F
93548,1500,1900,F
6964,,,F
6952,3928,5013,F
93700,,,F
7990,2962,3674,F
7989,3135,4163,F
66478,3135,4163,F
