letter,ID
F,15540
F,10275
F,94426
F,94254
F,15198
F,59177
F,14880
F,13992
F,4056
F,3951
F,10239
F,15657
F,133561
F,1123
F,1124
F,1946
F,15145
F,2418
F,15330
F,15444
F,15442
F,15440
F,15328
F,4024
F,2488
F,35221
F,3961
F,7416
F,995
F,94343
F,6612
F,14197
F,94107
F,93808
F,125531
F,59043
F,77568
F,14195
F,6454
F,59279
F,93712
F,94003
F,94061
F,93616
F,76910
F,33200
F,7036
F,59281
F,59283
F,93580
F,94407
F,131694
F,94425
F,3709
F,129348
F,129350
F,354
F,390
F,385
F,15658
F,4044
F,131053
F,1908
F,50909
F,3692
F,13804
F,3677
F,3694
F,1429
F,1406
F,4325
F,4326
F,680
F,681
F,10058
F,7352
F,100790
F,14030
F,123282
F,2187
F,2398
F,2403
F,7358
F,9572
F,7355
F,7354
F,10283
F,7311
F,9405
F,1452
F,6771
F,9986
F,9962
F,27314
F,134893
F,9766
F,15890
F,29201
F,50902
F,709
F,727
F,58700
F,728
F,94279
F,93807
F,6461
F,59257
F,76789
F,8578
F,93945
F,93668
F,58383
F,8632
F,15000
F,7362
F,93548
F,6964
F,6952
F,93700
F,7990
F,7989
F,66478
F,59285
F,94077
F,4220
F,9910
F,9912
F,10066
F,3967
F,7145
F,14549
F,7411
F,7154
F,7379
F,14712
F,563
G,7429
G,594
G,620
G,588
G,614
G,615
G,604
G,605
G,581
G,619
G,580
G,613
G,612
G,603
G,602
G,10090
G,1994
G,130065
G,130067
G,130066
G,93743
G,94338
G,14869
G,14870
G,3735
G,3375
G,94289
G,94052
G,640
G,58719
G,9957
G,9999
G,9955
G,93738
G,93773
G,59289
G,10152
G,10236
G,10237
G,93586
G,94106
G,8638
G,8195
G,3703
G,2673
G,2675
G,7094
G,4236
G,9898
G,9895
G,15797
G,93717
G,93786
G,29397
G,9969
G,9971
G,6875
G,132492
G,9842
G,58701
G,93671
G,93725
G,58702
G,58703
G,77494
G,58704
G,94385
G,94344
G,93869
G,93790
G,58705
G,93793
G,93980
G,93925
G,93789
G,59291
G,27773
G,8139
G,90288
G,129385
G,13983
G,58706
G,94193
G,94022
G,58707
G,93765
G,93771
G,59064
G,4066
G,4067
G,93932
G,94168
G,7469
G,416
G,6868
G,94001
G,93602
G,13970
G,682
G,14093
G,27714
G,13981
G,8566
G,14849
G,30242
G,13973
G,14850
G,15504
G,27542
G,51010
G,6515
G,27357
G,30191
G,59551
G,94418
G,93898
G,9042
G,9037
G,100540
G,93934
G,93626
G,93956
G,94320
G,59293
G,93639
G,93877
G,94236
G,94090
G,59295
G,3817
G,8200
G,8553
G,126847
G,4653
G,4656
G,1077
G,1079
G,1092
G,1091
G,1095
G,4365
G,4364
G,4356
G,1048
G,10230
G,27446
G,28998
G,29000
G,1117
G,29517
G,4144
G,114450
G,2593
G,2589
G,2590
G,2591
G,2587
G,15660
G,849
G,100542
G,59297
G,129455
G,1959
G,8138
G,3729
G,3739
G,133598
G,29355
G,8404
G,10026
G,14012
G,1174
G,1720
G,15583
G,9524
H,4071
H,7455
H,14037
H,4803
H,7316
H,7288
H,94156
H,93666
H,6532
H,6725
H,94388
H,2694
H,2695
H,9077
H,58960
H,10139
H,103408
H,8122
H,15244
H,133617
H,10110
H,10186
H,8839
H,8838
H,94218
H,100651
H,13778
H,9127
H,123550
H,8780
H,9129
H,9121
H,93779
H,94141
H,8722
H,9105
H,14641
H,50936
H,768
H,90135
H,8056
H,1153
H,1497
H,58535
H,58524
H,90134
H,58523
H,394
H,739
H,9908
H,625
H,10086
H,1068
H,90128
H,3969
H,14923
H,10175
H,1019
H,58534
H,3751
H,1226
H,58538
H,50939
H,501
H,58529
H,90136
H,58527
H,58544
H,14485
H,58542
H,2027
H,880
H,58540
H,1330
H,58522
H,10223
H,8874
H,58515
H,58528
H,4213
H,90129
H,90131
H,90138
H,6646
H,9952
H,9916
H,15122
H,58708
H,33207
H,132714
H,132716
H,132715
H,59335
H,129408
H,8297
H,2974
H,94118
H,93579
H,58341
H,57887
H,29057
H,1534
H,1535
H,2685
H,2687
H,2688
H,126805
H,126807
H,126803
H,1566
H,94270
H,94013
H,59299
H,124273
H,124274
H,8720
H,9213
H,6969
H,9966
H,10009
H,9994
H,132012
H,132013
H,10010
H,9985
H,58319
H,14002
H,58690
H,120095
H,120096
H,94243
H,100960
H,14212
H,8112
H,372
H,14005
H,58710
I,14996
I,15460
I,8199
I,7055
I,35275
I,7049
I,27467
I,94389
I,93747
I,100516
I,59301
I,94029
I,93987
I,59261
I,4279
I,93672
I,94119
I,76430
I,76438
I,3003
I,7965
I,34941
I,34948
I,34938
I,34943
I,15711
I,29055
I,6290
I,14383
I,134758
I,6288
I,6130
I,6204
I,6272
I,6169
I,27531
I,6168
I,6132
I,6286
I,6260
I,14062
I,6080
I,6289
I,77368
I,6131
I,6135
I,6137
I,6133
I,15186
I,28423
I,30216
I,123751
I,6167
I,6140
I,6208
I,6264
I,6265
I,6136
I,6077
I,6271
I,77109
I,6076
I,6263
I,6270
I,6134
I,6268
I,10235
I,15263
I,130192
I,134904
I,93944
I,94232
I,58711
I,15325
I,14997
I,93941
I,94311
I,7087
I,134721
I,93622
I,93587
I,59320
I,2945
I,58713
I,93973
I,93876
I,59321
I,59323
I,59325
I,59327
I,59351
I,58576
I,59345
I,100530
I,58715
I,132072
I,58691
I,58720
I,58693
I,59347
I,132032
I,58716
I,59354
I,59385
I,59355
I,58717
I,59363
I,58718
I,59367
I,59369
I,58721
I,59371
I,59373
I,58722
I,5149
I,58723
I,58726
I,58727
I,58729
I,58731
I,59387
I,58732
I,59389
I,58733
I,59359
I,58734
I,59391
I,59361
I,59393
I,58736
I,58737
I,58738
I,59399
I,100733
I,59401
I,59403
I,100731
I,100529
I,59408
I,15682
I,100523
I,58712
I,59413
I,59418
I,58739
I,59420
I,59423
I,58740
I,59425
I,58742
I,59428
I,59343
I,58744
I,94341
I,93654
I,59313
I,126577
I,126576
I,126578
I,94009
I,94089
I,27827
I,100517
I,94136
I,94134
I,6866
I,129505
I,93826
I,15147
I,8414
I,14373
I,5399
I,94261
I,94015
I,134902
I,8384
I,100735
I,120097
I,94150
I,94220
I,94411
I,100728
I,93838
I,94292
I,76530
I,94354
I,93589
I,59431
I,14716
I,15518
I,6783
I,59432
I,94062
I,94397
I,93954
I,93893
I,4280
I,2173
I,89993
I,14040
I,15319
I,7804
I,15307
I,89988
I,93582
I,93578
I,100508
I,15323
I,15303
I,15321
I,15301
I,94276
I,93775
I,15299
I,15300
I,2927
I,2909
I,2919
I,2917
I,2918
I,2920
I,89989
I,15295
I,15305
J,58745
J,93618
J,93703
J,94091
J,93620
J,59113
J,8293
J,94159
J,94267
J,58746
J,94282
J,94133
J,9047
J,9094
J,9050
J,9049
J,58747
J,59437
J,59439
J,59441
J,59444
J,7924
J,8252
J,33320
J,2581
K,8420
K,2801
K,4345
K,2479
K,4292
K,7672
K,8588
K,8589
K,8584
K,133532
K,4206
K,4204
K,7240
K,9959
K,58993
K,7225
K,7229
K,59006
K,9553
K,8643
K,2183
K,124530
K,15166
K,2180
K,7099
K,7096
K,58748
K,93573
K,93881
K,1826
K,7716
K,7092
K,7717
K,5712
K,51013
K,14078
K,15526
K,7018
K,123266
K,35311
K,133555
K,130926
K,6580
K,7134
K,7889
K,133596
K,133597
K,133558
K,33364
K,35279
K,29441
K,33235
K,7131
K,50904
K,35277
K,100524
K,94176
K,14061
K,100534
K,93748
K,94068
K,94233
K,76608
K,986
K,1677
K,59540
K,126857
K,4860
K,15463
K,14517
K,7891
K,7893
K,7991
K,7789
K,7017
K,134755
K,8926
K,8729
K,14335
K,9108
K,9173
K,9166
K,9174
K,78588
K,14762
K,93647
K,93679
K,93895
K,94294
K,94290
K,93792
K,93272
K,2647
K,2648
K,2649
K,2645
K,35329
K,27311
K,1487
K,2168
K,2225
K,2170
K,93268
K,93571
K,125538
K,94325
K,100545
K,59447
K,9768
K,3726
K,94047
K,93782
K,59449
K,8419
K,4702
K,29467
K,7799
K,93596
K,94201
K,59263
K,59549
K,93874
K,94111
K,93884
K,94281
K,58750
K,14486
K,93590
K,94361
K,15265
K,59452
K,93862
K,93788
K,3654
K,3655
K,9760
K,35327
K,94064
K,94088
K,6767
K,5387
K,15892
K,29049
K,94392
K,93974
K,59002
K,6484
K,7002
K,7698
K,27811
K,1583
K,59453
K,93686
K,93570
K,1358
K,93656
K,94104
K,59456
K,14624
K,9929
K,126671
K,59457
K,7676
K,78472
K,8550
K,389
K,2378
K,7177
K,7176
K,122564
K,27300
K,27298
K,14799
K,122563
K,5230
K,2382
K,14744
K,73548
K,73549
K,125585
K,4784
K,8711
K,100538
K,8868
K,8869
K,6833
K,2356
K,27704
K,6768
K,6769
K,9794
K,93784
K,3723
K,3727
K,29390
K,77942
K,7074
K,3611
K,3613
K,15411
K,93730
K,94268
K,4162
K,94314
K,94040
K,15844
K,9832
K,59460
K,59462
K,6778
K,14795
K,35219
K,27818
K,58996
K,6563
K,93619
K,93832
K,4367
K,58751
K,13991
K,59465
K,94416
K,94188
K,14851
K,4548
K,1213
K,1221
K,1215
K,93674
K,93660
K,1219
K,59055
K,8776
K,94222
K,94002
K,4488
K,93600
K,93834
K,100521
K,35328
K,6953
K,7189
K,94296
K,100609
L,6313
L,4615
L,4617
L,6415
L,7147
L,7453
L,1223
L,124412
L,498
L,2391
L,100513
L,94138
L,93942
L,59375
L,93675
L,93606
L,272
L,6327
L,3815
L,473
L,475
L,9360
L,273
L,59468
L,7066
L,93905
L,94656
L,94169
L,58753
L,14405
L,5879
L,93769
L,94131
L,3569
L,94377
L,100515
L,94199
L,94650
L,94206
L,94259
L,94651
L,94071
L,94024
L,128363
L,128364
L,128365
L,94649
L,93803
L,94034
L,9348
L,15104
L,14783
L,59472
L,59474
L,9397
L,58774
L,59476
L,59479
L,128366
L,9428
L,30231
L,59445
L,59446
L,9677
L,58450
L,9187
L,9583
L,4559
L,5452
L,9096
L,9058
L,30221
L,9669
L,59001
L,29194
L,29360
L,27387
L,7481
L,90139
L,117757
L,15487
L,7677
L,27617
L,27616
L,7417
L,90130
L,90189
L,59007
L,29358
L,27400
L,7484
L,7486
L,90133
L,29312
L,8172
L,6894
L,8121
L,9349
L,6608
L,7478
L,9285
L,6074
L,78305
L,8284
L,27885
L,1088
L,128339
L,90068
L,27279
L,14998
L,7075
L,59484
L,14992
L,2088
L,94359
L,93634
L,7538
L,77509
L,8764
L,8758
L,93591
L,94275
L,35013
L,7700
L,59021
L,93852
L,93758
L,4347
L,7363
L,6928
L,94081
L,93994
L,78574
L,8737
M,134292
M,7034
M,4591
M,4604
M,134955
M,15532
M,134954
M,15530
M,15534
M,27257
M,4596
M,77908
M,58991
M,29234
M,14965
M,4664
M,94376
M,94391
M,93855
M,93760
M,9757
M,132652
M,132657
M,132653
M,132655
M,132656
M,10286
M,93646
M,94263
M,2313
M,1663
M,1789
M,1798
M,2051
M,94265
M,128361
M,15200
M,59491
M,8734
M,27398
M,3259
M,131156
M,131157
M,9701
M,94192
M,93628
M,93868
M,93897
M,59494
M,14087
M,51029
M,3941
M,3938
M,14300
M,94372
M,93706
M,27442
M,27444
M,1195
M,93707
M,94260
M,2868
M,35283
M,7010
M,100729
M,124034
M,94173
M,7012
M,130733
M,14989
M,93908
M,93919
M,6986
M,93731
M,94152
M,59265
M,8533
M,57881
M,57883
M,57885
M,94080
M,94248
M,58754
M,35281
M,14238
M,59502
M,94004
M,93981
M,5528
M,90572
M,90574
M,90578
M,94300
M,94190
M,93824
M,94423
M,58755
M,93763
M,93681
M,58756
M,8982
M,8975
M,8961
M,8981
M,125541
M,93878
M,94305
M,94167
M,93882
M,94181
M,94366
M,8343
M,33212
M,29135
M,9013
M,59541
M,110387
M,100543
M,94006
M,9755
M,14055
M,29518
M,35287
M,119751
M,100910
M,10252
M,119592
M,35023
M,8082
M,77114
M,59061
M,520
M,94424
M,94295
M,14999
M,14474
M,8568
M,90070
M,5584
M,1708
M,1696
M,1702
M,1697
M,2277
M,2267
M,2266
M,2268
M,28987
M,129467
M,129468
M,1964
M,2552
M,2664
M,2665
M,13868
M,2546
M,1939
M,1925
M,1613
M,1781
M,1736
M,94229
M,94139
M,1977
M,2997
M,58757
M,93921
M,94209
M,100536
M,93662
M,94043
M,93806
M,94210
M,2757
M,77248
M,3857
M,6342
M,6343
M,58758
M,9883
M,78388
M,4801
M,133653
M,94226
M,94414
M,59267
M,4519
M,77800
M,3353
M,3354
M,4434
M,59237
M,59507
M,93689
M,94278
M,3860
M,59016
M,2316
M,2989
M,100526
M,93597
M,15735
M,8756
M,2321
M,3882
M,8445
M,58759
M,94109
M,94353
M,15019
M,13674
M,8407
M,59510
M,15923
M,8376
M,15926
M,8377
M,8375
M,8379
M,15922
M,15925
M,15924
M,73829
M,94066
M,129365
M,59515
M,9471
M,7077
M,58760
M,94203
M,94212
M,8599
M,9461
M,94323
M,94196
M,15421
M,8777
M,93791
M,94215
M,94298
M,94251
M,59518
M,1275
M,3264
N,123748
N,93823
N,106708
N,10094
N,8870
N,77370
N,3827
N,94148
N,94051
N,15095
N,93752
N,100533
N,846
N,847
N,15435
N,93655
N,13719
N,7207
N,67629
N,15153
N,15154
N,59000
N,59004
N,29423
N,59521
N,93576
N,94164
N,50992
N,50990
N,101323
N,27309
N,93848
N,93920
N,100509
N,59523
N,94250
N,94045
N,27540
N,10016
N,6008
N,8247
N,7955
N,122462
N,93951
O,4630
O,34975
O,10044
O,14784
O,7048
O,35285
O,4343
O,3637
O,15346
O,15338
O,15348
O,15344
O,15340
O,15010
O,14239
O,93409
O,33366
O,8830
O,7750
O,77931
O,78445
O,78019
O,8105
O,5267
O,7736
O,2659
O,132536
O,132537
O,2651
O,59527
O,94239
O,94347
O,94272
O,93632
O,3497
O,3498
O,122351
O,2429
O,8769
O,108809
O,58762
O,93749
O,93938
O,59525
O,9754
O,58761
O,58743
P,90568
P,58763
P,15517
P,93734
P,93805
P,100546
P,58764
P,2368
P,8630
P,93727
P,94288
P,78502
P,8097
P,4415
P,14290
P,4417
P,13994
P,8417
P,9882
P,33228
P,7957
P,59395
P,93723
P,125527
P,3659
P,14714
P,15242
P,3602
P,134692
P,7555
P,58385
P,27537
P,14995
P,93695
P,93629
P,58977
P,15408
P,9918
P,538
P,77696
P,77695
P,77694
P,77699
P,77697
P,93870
P,93830
P,76728
P,128448
P,128444
P,128450
P,128446
P,128452
P,286
P,122322
P,130913
P,4078
P,14589
P,132173
P,94409
P,94271
P,58765
P,58987
P,58766
P,1151
P,14042
P,93665
P,93669
P,13971
P,6717
P,8910
P,94410
P,94657
P,93599
P,58767
